"MATERIAL","LANGU","TXTMD"
"000000000020000299","E","PVDC FILM RED GG98H R55 54MMX1600M NO4.0"
"000000000020000300","E","(Do not use) PVDC FILM RED GG98H R55 68M"
"000000000020000301","E","Hành lá"
"000000000020000302","E","Trứng gà chung NL SPCB"
"000000000020000303","E","Phi lê cá tra đông lạnh"
"000000000020000304","E","Thịt cá biển xay"
"000000000020000305","E","(Do not use) Tinh bột biến tính Kreation"
"000000000020000306","E","Bột biến tính SMS 454"
"000000000020000307","E","Xốt thịt nướng xá xíu 50gr NL"
"000000000020000308","E","Xốt thịt nướng xá xíu 80gr NL"
"000000000020000309","E","Xốt thịt nướng ngũ vị 50gr NL"
"000000000020000310","E","Xốt thịt nướng ngũ vị 80gr NL"
"000000000020000311","E","(Do not use) Hương nước mắm KFT815"
"000000000020000312","E","(Do not use) Nạc cổ bò (chuck roll) Úc h"
"000000000020000313","E","Nước dùng bún chả cá vị Nha Trang 50gr"
"000000000020000314","E","Xốt xào cay vị Hàn Quốc 25gr"
"000000000020000315","E","NLTP Polygum D7"
"000000000020000316","E","Chất điều vị Ajitide I+G"
"000000000020000317","E","Gia vị hỗn hợp Aji-Aroma MM-100"
"000000000020000318","E","(Do not use) Quà tặng (01)"
"000000000020000319","E","Quà tặng (10)"
"000000000020000320","E","Râu bạch tuộc đông lạnh"
"000000000020000321","E","Bơ lạt Zelachi 80% fat"
"000000000020000322","E","(Do not use) PVDC FILM RED 68MMX1500M"
"000000000020000323","E","(Do not use) PVDC FILM RED 54MMX1500M"
"000000000020000324","E","(Do not use) PVDC FILM RED 68MMX1500M WY"
"000000000020000325","E","(Do not use) PVDC FILM RED 54MMX1500M WY"
"000000000020000326","E","(Do not use) Trứng gà CN S26 NL"
"000000000020000327","E","(Do not use) Xốt chanh dây mật ong 50gr"
"000000000020000328","E","(Do not use) Xốt chanh dây mật ong 80gr"
"000000000020000329","E","(Do not use) Nước mắm Hồng Hạnh 35 độ đậ"
"000000000020000330","E","(Do not use) Sữa đặc Ngôi Sao Phương Nam"
"000000000020000331","E","(Do not use) Thì là"
"000000000020000332","E","(Do not use) Đùi tỏi gà"
"000000000020000333","E","(Do not use) Má đùi gà"
"000000000020000334","E","(Do not use) Xương gà"
"000000000020000335","E","(Do not use) Cánh gà"
"000000000020000336","E","(Do not use) Lá chanh Thái"
"000000000020000337","E","(Do not use) Hạt mắc mật"
"000000000020000338","E","(Do not use) Lá mắc mật sấy khô"
