subaccount,sub_act,bs_pl,allocate,mapping,bu
"K3000T07D00","K3000T07D00","PL","Func.Dept_Swine Group","",""
"K3000T07P80","K3000T07P80","PL","Func.Dept_Poultry Group","",""
"K3000T15D00","K3000T15D00","PL","Func.Dept_Swine Group","",""
"K301B000000","K301B000000","PL","Func.Dept_BU Swine South 2","",""
"K301BG01000","K301BG01000","PL","Func.Dept_BU Swine South 2","",""
"K301BM08000","K301BM08000","PL","Func.Dept_BU Swine South 2","",""
"K367B000000","K367B000000","PL","Func.Dept_Group South","",""
"K367B000D00","K367B000D00","PL","Func.Dept_Swine South","",""
"K367B000D01","K367B000D01","PL","Func.Dept_Swine South","",""
"K367B000E00","K367B000E00","PL","Added Value","Added Value",""
"K367B000P00","K367B000P00","PL","Func.Dept_Poultry South","",""
"K367B000P80","K367B000P80","PL","Func.Dept_Poultry South","",""
"K367BC02000","K367BC02000","PL","Func.Dept_Group South","",""
"K367BC02D00","K367BC02D00","PL","Func.Dept_Swine South","",""
"K367BF01000","K367BF01000","PL","Func.Dept_Group South","",""
"K367BG01000","K367BG01000","PL","Func.Dept_Group South","",""
"K367BG01D00","K367BG01D00","PL","Func.Dept_Swine South","",""
"K367BG01D01","K367BG01D01","PL","Func.Dept_Swine South","",""
"K367BG01P00","K367BG01P00","PL","Func.Dept_Poultry South","",""
"K367BH01000","K367BH01000","PL","Func.Dept_Group South","",""
"K367BI01000","K367BI01000","PL","Func.Dept_Group South","",""
"K367BM08000","K367BM08000","PL","Func.Dept_Group South","",""
"K367BM08D00","K367BM08D00","PL","Func.Dept_Swine South","",""
"K367BM08P80","K367BM08P80","PL","Func.Dept_Poultry South","",""
"K367BP01000","K367BP01000","PL","Func.Dept_Group South","",""
"K367BP01D00","K367BP01D00","PL","Func.Dept_Swine South","",""
"K367BP05E01","K367BP05E01","PL","Added Value","Added Value",""
"K367BP05E02","K367BP05E02","PL","Added Value","Added Value",""
"K367BS00E00","K367BS00E00","PL","Added Value","Added Value",""
"K367BS37E00","K367BS37E00","PL","Added Value","Added Value",""
"K367BT05D00","K367BT05D00","PL","Func.Dept_Swine South","",""
"K367BW01E00","K367BW01E00","PL","Added Value","Added Value",""
"K369B000P00","K369B000P00","PL","Func.Dept_Poultry North","",""
"K369BG01P00","K369BG01P00","PL","Func.Dept_Poultry North","",""
"K369BH01000","K369BH01000","PL","Func.Dept_Group North","",""
"K369BH01P00","K369BH01P00","PL","Func.Dept_Poultry North","",""
"K369BI01000","K369BI01000","PL","Func.Dept_Group North","",""
"K369BM01P00","K369BM01P00","PL","Func.Dept_Poultry North","",""
"K369BT07P00","K369BT07P00","PL","Func.Dept_Poultry North","",""
"K390B000000","K390B000000","PL","Func.Dept_Group NorthCentral","",""
"K390B000D00","K390B000D00","PL","Func.Dept_Swine NorthCentral","",""
"K390B000D01","K390B000D01","PL","Func.Dept_Swine NorthCentral","",""
"K390BC02000","K390BC02000","PL","Func.Dept_Group NorthCentral","",""
"K390BC02D00","K390BC02D00","PL","Func.Dept_Swine NorthCentral","",""
"K390BD01000","K390BD01000","PL","Func.Dept_Group NorthCentral","",""
"K390BF01000","K390BF01000","PL","Func.Dept_Group NorthCentral","",""
"K390BG01000","K390BG01000","PL","Func.Dept_Group NorthCentral","",""
"K390BG01D00","K390BG01D00","PL","Func.Dept_Swine NorthCentral","",""
"K390BG01D01","K390BG01D01","PL","Func.Dept_Swine NorthCentral","",""
"K390BH01000","K390BH01000","PL","Func.Dept_Group NorthCentral","",""
"K390BH05000","K390BH05000","PL","Func.Dept_Group NorthCentral","",""
"K390BI01000","K390BI01000","PL","Func.Dept_Group NorthCentral","",""
"K390BM08000","K390BM08000","PL","Func.Dept_Group NorthCentral","",""
"K390BM08D00","K390BM08D00","PL","Func.Dept_Swine NorthCentral","",""
"K390BM16000","K390BM16000","PL","Func.Dept_Group NorthCentral","",""
"K390BM16D00","K390BM16D00","PL","Func.Dept_Swine NorthCentral","",""
"K390BP01000","K390BP01000","PL","Func.Dept_Group NorthCentral","",""
"K390BT01P00","K390BT01P00","PL","Func.Dept_Poultry North","",""
"K390BT05000","K390BT05000","PL","Func.Dept_Group NorthCentral","",""
"K390BT05D00","K390BT05D00","PL","Func.Dept_Swine NorthCentral","",""
"K390BT07D00","K390BT07D00","PL","Func.Dept_Swine NorthCentral","",""
"K390BT07P00","K390BT07P00","PL","Func.Dept_Poultry North","",""
